,Explanation,Node,MAE,MSE,RMSE,R²
0,phenomenon,3725,0.0,0.0,0.0,1.0
1,phenomenon,101,0.0,0.0,0.0,1.0
2,phenomenon,5384,0.0,0.0,0.0,1.0
3,model,3725,513.4344631164028,2923779.445456482,3514.020899844736,0.9946035635141729
4,model,101,2227.8123019110994,37842962.06469748,13232.353143458393,0.9947865631202845
5,model,5384,517.0552001521379,3566937.072294603,3992.1242602960256,0.9950989970393197
