,Explanation,Node,MAE,MSE,RMSE,R²
0,phenomenon,3725,0.0,0.0,0.0,1.0
1,phenomenon,101,0.0,0.0,0.0,1.0
2,phenomenon,5384,0.0,0.0,0.0,1.0
3,model,3725,581.276431427899,3478438.4555705874,3837.5356743177254,0.9935782382436159
4,model,101,2475.3223542667465,45853865.80204065,14247.443997385979,0.9937019126160629
5,model,5384,585.5102113170898,4399452.036526836,4348.631976600573,0.9939665694095904
