NOMENUM;ARIMA RMSE;LSTM RMSE;Prophet RMSE;ARIMA R2;LSTM R2;Prophet R2
Manaus;10195.861963788788;7096.260250472138;11109.969479238443;-0.5430438672162909;0.24242503676296423;-0.8321292581213704
Japurá;11.830617029209922;3588.4717898822837;209.2173007614344;-1.3207706897925546;0.8062750233590248;-1342.7382555059974
Figueirópolis D'Oeste;159.56033911955421;4626.608329022866;158.730586252045;-2.3806486215065914;0.677973201083403;-1350.0269312198232
Alvarães;131680994314824.86;12651.785067405985;375.3225499683707;-2.3571199669844573e+24;-1.4080758097849966;-1318.4608980735977
Autazes;102.55227789803172;2258.288643315297;495.2786565525087;-1.815428918209502;0.923277023112446;-1314.535894940716
Codajás;98.39953357518588;5055.706135924493;132.94845391308763;-1.8537534320671103;0.6154700341574535;-1329.2878235746834
Juruti;286.5456029231009;1945.1818079924208;1144.4078605903057;-0.11650338420602524;0.9430771098053974;-1287.3547420964362
Itacoatiara;2424.2589526316447;11035.2490824283;182.54421649033387;-23.923600833813346;-0.832022591662936;-1209.3619515297796
Baião;45.37005616296982;2374.5388990442966;103.89225669477321;-2.734981534483098;0.9151747552852132;-1345.8304142693646
Cametá;568.5646488302787;4331.16501340545;2533.73457995674;-1.1644056817411084;0.7177876567171371;-1230.8760573284276
Almeirim;111.15160760937863;1941.123958449425;163.3944270726595;-0.06145291530919739;0.9433143561072738;-1315.273006159473
Coari;101.84877438690829;9459.893251533176;2242.8452535552847;0.5377494894543771;-0.34629122686288816;-1235.7554633073291
Acarape;168.60242703365833;8381.451234591774;310.2794788695208;-2.1951805106636573;-0.05682965038452248;-1323.4612299928376
Parintins;397.3700131724597;6028.771571631331;1080.9458662228358;-20.026844677011837;0.45320541872683295;-1240.0404288580924
Fortaleza;17326.505977843815;3390.0230509411294;35570.39313481737;-0.9286890866816264;0.8271092147548368;-47.52153736973589
Belém;5057.384096755833;8558.305269628616;3123.8203249995845;0.16055990876971205;-0.10189976688332458;-354.0892401835921
Canutama;4143.751916645929;3433.1861664440657;74.7687589849566;-12987.535799208781;0.8226785589135143;-1338.008872514184
Cristino Castro;97.88470575336898;2148.400251484971;198.3144950706618;-38467.98722312494;0.9305620431912608;-1344.276060214
Aracoiaba;523.2319513904037;7137.619456261997;333.94342524261884;-2.036436449429172;0.23356853882174722;-1310.200921452997
Baturité;354.93115000236463;2153.1417945945095;203.7078234749108;-1.544971027138534;0.9302552042891872;-1304.9269922088567
Graça;139.59504101468107;8318.992214936885;188.22628518210206;-2.1712362490375354;-0.04113723806177183;-1337.2466617246691
Guaramiranga;93.68621322137491;4024.17530803273;255.05710736021373;0.4611382602964301;0.756375854886395;-1341.1557128947945
Juazeiro do Norte;8157.305978525935;1210.1051126914276;2252.8062861148132;-5.409683593600404;0.9779700893377961;-982.4599417685989
Mulungu;117.77584669761104;1157.1941935029924;54.949594236969325;-1.635275033443842;0.979854454304529;-1339.3162518370386
Pacoti;18.300922250679776;4031.128510030321;70.0268624768794;-0.29224442127924743;0.7555332318740464;-1338.7926089936382
Frutuoso Gomes;186.0708693047471;5502.1128432737205;437.2512498128253;-5.797739493357513;0.5445659148460872;-1336.111714022595
Japaratuba;88.21471785961181;3075.395172513116;71.35552639857774;-2.187386056442939;0.8577119587381036;-1338.2682412183397
Campo Belo;102755.6657741471;14024.172819320967;2377.7908519988578;-6224.648424392396;-1.9588370901690442;-1237.603391133838
Agricolândia;130.2370940634229;1738.6807218547547;85.06894652026254;-2.4222200344478604;0.9545214906002013;-1347.8586099502284
Bonfinópolis de Minas;7.210920017543993;509.40217398791555;52.81762343727461;0.14213051837854818;0.9960961948519296;-1346.5064784561034
Missão Velha;276.0773582558422;1317.7033884068774;86.37292463854976;-1.7039650460708162;0.9738782739985682;-1325.0863125447302
Itambé;328.9390602647058;12229.075582510794;232.13722871259142;-1.9282809176610236;-1.2498512354583045;-1334.0105206675516
Jati;235.34862469386388;167863.2025107653;231.19424956545384;-2.4994191645118136;-422.9137983391803;-1345.9303497636292
Itapeva;1768.2659376150968;2305.100246005426;2407.8431567160337;-1.4075867010753123;0.9200633068142079;-1169.8285953101588
Macaíba;751.2462009466508;8155.332492707074;1595.5069204576848;-1.7324044002884404;-0.0005755542150096549;-1248.4918034903458
Guaratuba;1197.908630598646;4566.857495109374;1701.6162174352478;-1.6718886782119107;0.6862371910484832;-1261.9086575992083
Palmácia;68.51019132640734;191700.2434527433;56.9418888687483;-3.018462754234669;-551.8558038141789;-1342.668534666164
Milagres;332.7877341357829;7013.638805407709;641.1916263004749;-1.7814188072260126;0.2599631648538546;-1320.840813007284
Aratuba;159.47220063540632;4139.511429115779;52.041507630043526;-3.117271259462415;0.7422108014572095;-1335.7873793385832
Óbidos;323.8436895340688;2289.708599580021;731.9312989708055;-1.5758745077740972;0.9211272515522514;-1275.7947697287607
Apiaí;9.838623242860928;13052.444212468592;86.06952910941887;-6.401759589121917;-1.5630096161813438;-1338.6750565918453
Paranaguá;4990.860252224082;7825.620377158139;389.8132981758191;-31.9498978587456;0.07869358112011549;-1074.148776240192
